<<<<<<< HEAD
PATHLOSS_CAL_RESULTS, , , , , , , , 
MHz, a0ul, a0dl, a1ul, a1dl, a2ul, a2dl, a3ul, a3dl
5800, 0.00, 0.00, 34.25, 20.25, 0.00, 0.00, 33.83, 20.17
6489.6, 0.00, 0.00, 34.25, 20.91, 0.00, 0.00, 34.75, 20.87
6988.8, 0.00, 0.00, 35.75, 21.47, 0.00, 0.00, 35.75, 21.09
7488, 35.79, 22.53, 35.75, 21.91, 35.71, 21.67, 35.66, 21.60
7987.2, 36.59, 23.11, 36.25, 22.55, 36.31, 22.28, 36.44, 22.24
8486.4, 37.61, 23.51, 37.00, 22.97, 37.49, 22.72, 37.50, 22.74
PATHLOSS_CAL_RESULTS, , , , , , , , 
MHz, a0ul, a0dl, a1ul, a1dl, a2ul, a2dl, a3ul, a3dl
5800, 0.00, 0.00, 34.38, 20.42, 0.00, 0.00, 34.11, 20.24
6489.6, 0.00, 0.00, 34.70, 21.24, 0.00, 0.00, 35.00, 20.99
6988.8, 0.00, 0.00, 35.25, 22.02, 0.00, 0.00, 35.49, 21.31
7488, 35.99, 22.72, 36.00, 22.07, 35.75, 22.00, 35.80, 21.80
7987.2, 36.60, 23.28, 36.70, 22.97, 36.45, 22.57, 36.60, 22.40
8486.4, 37.38, 23.86, 37.02, 23.51, 37.45, 22.83, 37.48, 23.03
PATHLOSS_CAL_RESULTS, , , , , , , , 
MHz, a0ul, a0dl, a1ul, a1dl, a2ul, a2dl, a3ul, a3dl
5800, 0.00, 0.00, 34.31, 20.79, 0.00, 0.00, 33.44, 20.49
6489.6, 0.00, 0.00, 34.50, 21.50, 0.00, 0.00, 35.34, 21.17
6988.8, 0.00, 0.00, 36.01, 21.93, 0.00, 0.00, 35.73, 21.36
7488, 35.96, 22.73, 36.00, 22.61, 35.98, 21.94, 35.79, 21.91
7987.2, 36.67, 23.26, 37.05, 22.95, 36.35, 22.56, 37.00, 22.47
8486.4, 37.48, 23.85, 37.25, 23.53, 37.50, 23.24, 37.50, 23.01
PATHLOSS_CAL_RESULTS, , , , , , , , 
MHz, a0ul, a0dl, a1ul, a1dl, a2ul, a2dl, a3ul, a3dl
5800, 0.00, 0.00, 34.25, 20.59, 0.00, 0.00, 33.39, 20.52
6489.6, 0.00, 0.00, 34.50, 21.39, 0.00, 0.00, 35.48, 21.18
6988.8, 0.00, 0.00, 36.00, 22.11, 0.00, 0.00, 35.75, 21.52
7488, 35.98, 22.84, 36.19, 22.41, 36.01, 22.44, 35.85, 22.07
7987.2, 36.55, 23.32, 36.90, 23.14, 36.60, 22.76, 36.60, 22.60
8486.4, 37.54, 23.99, 37.30, 23.86, 37.75, 23.18, 37.76, 23.38
PATHLOSS_CAL_RESULTS, , , , , , , , 
MHz, a0ul, a0dl, a1ul, a1dl, a2ul, a2dl, a3ul, a3dl
5800, 0.00, 0.00, 34.66, 20.86, 0.00, 0.00, 34.23, 20.50
6489.6, 0.00, 0.00, 34.77, 21.65, 0.00, 0.00, 35.06, 21.32
6988.8, 0.00, 0.00, 36.50, 22.13, 0.00, 0.00, 36.25, 21.56
7488, 36.23, 22.94, 36.25, 22.84, 36.41, 22.47, 35.87, 22.13
7987.2, 37.04, 23.52, 37.14, 23.25, 37.19, 23.06, 36.98, 22.81
8486.4, 38.00, 24.20, 37.75, 24.00, 38.21, 23.61, 38.00, 23.33
PATHLOSS_CAL_RESULTS, , , , , , , , 
MHz, a0ul, a0dl, a1ul, a1dl, a2ul, a2dl, a3ul, a3dl
5800, 0.00, 0.00, 35.00, 21.04, 0.00, 0.00, 34.00, 20.72
6489.6, 0.00, 0.00, 34.84, 21.76, 0.00, 0.00, 35.69, 21.37
6988.8, 0.00, 0.00, 36.50, 22.37, 0.00, 0.00, 36.19, 21.70
7488, 36.35, 23.33, 36.50, 22.94, 35.86, 22.41, 35.96, 22.42
7987.2, 37.00, 23.83, 37.67, 23.63, 36.70, 22.94, 36.85, 22.99
8486.4, 38.06, 24.48, 37.60, 24.06, 37.86, 23.61, 37.85, 23.48
PATHLOSS_CAL_RESULTS, , , , , , , , 
MHz, a0ul, a0dl, a1ul, a1dl, a2ul, a2dl, a3ul, a3dl
5800, 0.00, 0.00, 34.89, 21.14, 0.00, 0.00, 33.88, 20.75
6489.6, 0.00, 0.00, 35.20, 21.89, 0.00, 0.00, 35.25, 21.49
6988.8, 0.00, 0.00, 36.71, 22.47, 0.00, 0.00, 36.26, 21.85
