NO,전공명,수강연도,학기,과목명,과목유형,취득학점,성적,재수강여부
1,반도체과학(동국대-학사-주전공),2015,1,녹색아이디어창출론,교양기타,3,A+,N
2,반도체과학(동국대-학사-주전공),2015,1,생활속의생명공학,교양기타,3,A,N
3,반도체과학(동국대-학사-주전공),2015,1,에너지공학기초1,교양기타,3,A+,N
4,반도체과학(동국대-학사-주전공),2015,1,일반물리학및실험1,교양기타,3,A+,N
5,반도체과학(동국대-학사-주전공),2015,1,선과자기성찰1,교양기타,1,PASS,N
6,반도체과학(동국대-학사-주전공),2015,1,글쓰기1,교양기타,2,B+,N
7,반도체과학(동국대-학사-주전공),2015,1,EnglishConversation1,교양기타,1,B+,N
8,반도체과학(동국대-학사-주전공),2015,1,FreshmanEnglish1,교양기타,1,A+,N
9,반도체과학(동국대-학사-주전공),2015,1,대학생활과자기계발1,교양기타,1,PASS,N
10,반도체과학(동국대-학사-주전공),2015,2,예술의이해,교양기타,3,A,N
11,반도체과학(동국대-학사-주전공),2015,2,세상읽기와미디어커뮤니케이션,교양기타,3,A+,N
12,반도체과학(동국대-학사-주전공),2015,2,에너지공학기초2,교양기타,3,A,N
13,반도체과학(동국대-학사-주전공),2015,2,일반물리학및실험2,교양기타,3,A+,N
14,반도체과학(동국대-학사-주전공),2015,2,선과자기성찰2,교양기타,1,PASS,N
15,반도체과학(동국대-학사-주전공),2015,2,불교와인간,교양기타,2,A+,N
16,반도체과학(동국대-학사-주전공),2015,2,글쓰기2,교양기타,2,B+,N
17,반도체과학(동국대-학사-주전공),2015,2,EnglishConversation2,교양기타,1,A+,N
18,반도체과학(동국대-학사-주전공),2015,2,FreshmanEnglish2,교양기타,1,A+,N
19,반도체과학(동국대-학사-주전공),2015,2,대학생활과자기계발2,교양기타,1,PASS,N
20,반도체과학(동국대-학사-주전공),2016,1,불교와윤리,교양기타,3,A+,N
21,반도체과학(동국대-학사-주전공),2016,1,공업수학,교양기타,3,A,N
22,[기타]기계로봇에너지공학과(동국대-학사-복수학위),2016,1,시스템열역학,전공,3,A+,N
23,반도체과학(동국대-학사-주전공),2016,1,원자력수리물리,교양기타,3,A+,N
24,[기타]기계로봇에너지공학과(동국대-학사-복수학위),2016,1,재료응용역학,전공,3,A+,N
25,반도체과학(동국대-학사-주전공),2016,1,원자력및에너지시스템공학진로탐색,교양기타,1,PASS,N
26,반도체과학(동국대-학사-주전공),2016,1,Speaking and Communication1,교양기타,1,A+,N
27,반도체과학(동국대-학사-주전공),2016,2,화학공학개론,교양기타,3,A+,N
28,반도체과학(동국대-학사-주전공),2016,2,원자력공학개론,교양기타,3,A+,N
29,[기타]기계로봇에너지공학과(동국대-학사-복수학위),2016,2,에너지유체역학,전공,3,A+,N
30,반도체과학(동국대-학사-주전공),2016,2,방사선응용물리,교양기타,3,A+,N
31,[기타]기계로봇에너지공학과(동국대-학사-복수학위),2016,2,열전달및변환,전공,3,A+,N
32,반도체과학(동국대-학사-주전공),2016,2,Speaking and Communication2,교양기타,1,A,N
33,반도체과학(동국대-학사-주전공),2017,1,미적분학및연습1,교양기타,3,B+,N
34,반도체과학(동국대-학사-주전공),2017,1,일반화학및실험1,교양기타,4,B+,N
35,반도체과학(동국대-학사-주전공),2017,1,현대물리학1,전공,3,A,N
36,반도체과학(동국대-학사-주전공),2017,1,기초전자회로및실습1,전공,3,B+,N
37,반도체과학(동국대-학사-주전공),2017,1,반도체기초및실습,전공,3,A,N
38,반도체과학(동국대-학사-주전공),2017,1,신호해석,전공,3,B+,N
39,반도체과학(동국대-학사-주전공),2017,2,미적분학및연습2,교양기타,3,A,N
40,반도체과학(동국대-학사-주전공),2017,2,전자기학개론,전공,3,A,N
41,반도체과학(동국대-학사-주전공),2017,2,반도체물리학,전공,3,A+,N
42,반도체과학(동국대-학사-주전공),2017,2,주니어세미나(반도체과학주니어세미나),전공,1,PASS,N
43,반도체과학(동국대-학사-주전공),2017,2,반도체공정및실습2,전공,3,B+,N
44,반도체과학(동국대-학사-주전공),2017,2,메모리소자및재료,전공,3,A,N
45,반도체과학(동국대-학사-주전공),2017,2,반도체분광학,전공,3,B+,N
46,반도체과학(동국대-학사-주전공),2017,겨울계절,현장실습,전공,6,PASS,N
47,[기타]기계로봇에너지공학과(동국대-학사-복수학위),2018,1,고체역학,전공,3,B+,N
48,[기타]기계로봇에너지공학과(동국대-학사-복수학위),2018,1,재료학,전공,3,A,N
49,[기타]기계로봇에너지공학과(동국대-학사-복수학위),2018,1,제조공학실습,전공,2,A+,N
50,[기타]기계로봇에너지공학과(동국대-학사-복수학위),2018,1,로봇공학입문,전공,3,B,N
51,[기타]기계로봇에너지공학과(동국대-학사-복수학위),2018,1,기술보고서작성및발표,교양기타,3,A,N
52,반도체과학(동국대-학사-주전공),2018,1,반도체소자및실습1,전공,3,B,N
53,반도체과학(동국대-학사-주전공),2018,1,초고주파물성및소자,전공,3,B+,N
54,[기타]기계로봇에너지공학과(동국대-학사-복수학위),2018,2,응용재료역학,전공,3,B+,N
55,[기타]기계로봇에너지공학과(동국대-학사-복수학위),2018,2,제조공학,전공,3,B,N
56,[기타]기계로봇에너지공학과(동국대-학사-복수학위),2018,2,신소재특론,전공,3,B+,N
57,[기타]기계로봇에너지공학과(동국대-학사-복수학위),2018,2,트랙별설계프로젝트,전공,4,C+,N
